Site,Platform,ElementType,Label,Description,ByType,By
All,All,CheckBox,editAd_chbUrgent,urgent checkbox,xpath,"//input[@name='urgent' and contains(@class,'checkbox')]"
All,All,Button,editAd_btnClickUrgent,urgent button,xpath,"//label[@name='urgent' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblUrgent,urgent label,xpath,"//span[@name='urgent' and contains(@class,'checkbox')]"
All,All,Label,editAd_lblUrgent3.0,urgent label,xpath,"//span[@class='label-of-checkbox' and contains(text(),'Urgente')]"
mx_vns,All,CheckBox,editAd_chbSelectAll,select all feature checkbox,xpath,"//input[@name='select-all' and contains(@class,'checkbox')]"
mx_vns,All,CheckBox,editAd_chbSelectAll3.0,select all feature checkbox,xpath,"//label[contains(@class,'common-label select-all-icon icon-input-checkbox')]"
za,All,CheckBox,editAd_chbSelectAll,checkbox of select all features in my ads page,xpath,"//div[@class='ad-features']//div[@class='feature-select-all-wrapper']//input"
All,All,Button,editAd_btnClickSelectAll,select all feature button,xpath,"//label[@name='select-all' and contains(@class,'checkbox')]"
All,All,Button,editAd_btnClickSelectAll3.0,select all feature button,xpath,"//label[contains(@class,'select-all-icon')]"
mx_vns,All,Label,editAd_lblSelectAll,select all features label,xpath,"//div[@class='select-all-description']/span[contains(text(),'Seleccionar')]"
mx_vns,All,Label,editAd_lblSelectAll3.0,select all features label,xpath,//div[@class='select-all-description']/span
za,All,Label,editAd_lblSelectAll,text of select all features in my ads page,xpath,"//div[@class='ad-features']//div[@class='feature-select-all-wrapper']//span[@class='label']"
All,All,Label,editAd_lblDeSelectAll,deselect all features label,xpath,"//div[@class='select-all-description']/span[contains(text(),'Desmarcar')]"
All,landscape,TextField,editAd_txfCancel,text of cancel pay,xpath,"//div[@class='desktop-checkout-container']//div[@class='checkout-cancel']"
All,portrait,TextField,editAd_txfCancel,text of cancel pay,xpath,"//div[@class='mobile-checkout-container']//div[@class='checkout-cancel']"
All,landscape,TextField,editAd_txfCancel3.0,text of cancel pay,xpath,"//div[@class='desktop-checkout-container']//div[@class='checkout-cancel']/a"
All,portrait,TextField,editAd_txfCancel3.0,text of cancel pay,xpath,"//div[@class='mobile-checkout-container']//div[@class='checkout-cancel']/a"
All,All,Label,editAd_lblCheckSelectAll,check select all features,xpath,"//label[@class='common-label feature-checkbox icon-input-checkbox-checked']"
All,All,Label,editAd_lblCheckDeSelectAll,check deselect all features,xpath,"//label[@class='common-label feature-checkbox icon-input-checkbox']"
za,landscape,Button,editAd_btnCheckout,button to check out the price,xpath,"//div[@class='checkout-btn-wrapper']//a[@class='checkout-button btn']"
za,portrait,Button,editAd_btnCheckout,button to check out the price,xpath,"//div[@class='mobile-checkout']//a[@class='checkout-button btn']"
za,landscape,Button,editAd_btnCancelCheckout,button to cancel to check out the price,xpath,"//div[@class='desktop-checkout-container']//a[contains(text(),'Cancel')]"
za,portrait,Button,editAd_btnCancelCheckout,button to cancel to check out the price,xpath,"//div[@class='mobile-checkout']//a[contains(text(),'Cancel')]"
za,All,Label,editAd_lblDisableWebsiteurlFeature,label disable websiteurl feature on post ad page,xpath,"//div[contains(@class,'disabled selected websiteurl')]"
za,All,Label,editAd_lblDisableTopAdFeature,Label disable topAd feature on post ad page,xpath,"//div[contains(@class,'disabled selected topAd')]"
za,All,Label,editAd_lblDisabledHpGalleryFeature,Label disabled hpGallery feature on post ad page,xpath,"//div[contains(@class,'disabled selected hpGallery')]"
za,All,TextField,editAd_txfPriceInput3.0,the input of price,xpath,"//div[contains(@class,'price-input')]//input[@type='text']"
za,All,TextField,editAd_txfPriceInput1.0,the input of price,xpath,"//div[contains(@class,'price-field')]//input[@type='text']"
