Site,Platform,ElementType,Label,Description,ByType,By
All,landscape,Button,postAd_btnUploadImg,the button of upload image once close the upload img layer,xpath,"//div[@class='photo-container-desktop']//div[@draggable='true' and not(contains(@style,'none'))]//div[@class='icon-camera-v2']"
All,landscape,Button,postAd_btnUploadImg3.0,the button of upload image once close the upload img layer,xpath,"//div[@class='photo-container-desktop']//div[contains(@class,'no-photo')]"
All,portrait,Button,postAd_btnUploadImg,the button of upload image once close the upload img layer,xpath,"//div[@class='photo-container-mobile']//div[@class='photo-wrapper']"
All,portrait,Button,postAd_btnUploadImg3.0,the button of upload image once close the upload img layer,xpath,"//div[@class='photo-container-mobile']//div[contains(@class,'no-photo')]"
All,landscape,Label,postAd_lblPhotoCover,the photo cover,xpath,"//div[@class='cover-photo no-photo']"
All,All,Label,postAd_pnlInputForm,the input form,xpath,"//div[@class='main-detail-post']"
All,landscape,Button,postAd_btnPostAdEnabledButton,the post ad button,xpath,"//a[@class='post-ad-btn btn-wrapper']"
All,portrait,Button,postAd_btnPostAdEnabledButton,the post ad button,xpath,"//a[@class='btn']/span[contains(text(),'Terminar') or contains(text(),'Done')]"
All,All,Button,postAd_btnPostAdEnabledButton3.0,the post ad button,xpath,"//div[@class='post-button-wrapper']"
All,landscape,Button,postAd_btnPostAdDisabledButton,the post ad button,xpath,"//a[@class='post-ad-btn btn-wrapper disabled']"
All,portrait,Button,postAd_btnPostAdDisabledButton,the post ad button,xpath,"//div[@id='post-submit-button']//a[@class='btn disabled']"
All,landscape,TextField,postAd_txfUpLoadImg,the input of upload image from desktop,xpath,"//div[@class='add-photo-item slick-slide slick-current slick-active']"
All,portrait,TextField,postAd_txfUpLoadImg,the input of upload image from desktop,xpath,"//div[@class='file-input']"
All,All,Label,postAd_pnlFooter,the footer part in homepage,xpath,"//div[@class='footer-wrapper']"
All,landscape,Label,postAd_lblUploadImageWrapper,the wrapper of upload image,xpath,"//div[@class='cover-photo-small no-photo']"
All,portrait,Label,postAd_lblUploadImageWrapper,the wrapper of upload image,xpath,"//div[@class='photo-container-mobile']//div[contains(@class,'cover-photo-big no-photo')]"
All,All,Label,postAd_lblCategoryLabel3.0,the category label,xpath,"//div[@class='category-label']/div[@class='label']"
All,All,Label,postAd_lblCategoryRequired3.0,the category required,xpath,"//div[@class='category-label']/div[@class='required']"
All,All,Label,postAd_lblCategoryValidTrue3.0,the category icon valid true,xpath,"//div[@class='category-label']/div[@class='required']/span[@class='icon-valid-true']"
All,All,Label,postAd_lblCategoryValidFalse3.0,the category icon valid false,xpath,"//div[@class='category-label']/div[@class='required']/span[@class='icon-valid-false']"
All,All,Label,postAd_lblCategorySelection3.0,the category required,xpath,"//div[@class='category-selection']"
All,All,Label,postAd_pnlL1Category,the L1 category,xpath,"//select[@id='L1Category']"
All,All,Label,postAd_pnlL1Category3.0,the L1 category,xpath,"//div[@class='category-selection']/div[1]//select"
All,All,Label,postAd_pnlL2Category,the L2 category,xpath,"//select[@id='L2Category']"
All,All,Label,postAd_pnlL2Category3.0,the L2 category,xpath,"//div[@class='category-selection']/div[2]//select"
All,All,Label,postAd_pnlL3Category,the L3 category,xpath,"//select[@id='L3Category']"
All,All,Label,postAd_pnlL3Category3.0,the L3 category,xpath,"//div[@class='category-selection']/div[3]//select"
All,All,Label,postAd_pnlL4Category3.0,the L4 category,xpath,"//div[@class='category-selection']/div[4]//select"
All,landscape,TextField,postAd_txfEncourageUploadImg,the text that encourage user upload images,xpath,"//div[@class='photo-container-desktop']//div[@class='increase-reply-text']"
All,portrait,TextField,postAd_txfEncourageUploadImg,the text that encourage user upload images,xpath,"//div[@class='photo-container-mobile']//div/div/div[1]//div[@class='increase-reply-text']"
All,All,Label,postAd_lblCarMake,the car brand select list,xpath,"//select[@name='CarMake' or @name='AlmVehicleBrand']"
