Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,cvip_UnitsNewDesignFilterTabTwoBedrooms,the ad units new design filter tab,xpath,"(//div[@class='nd-units-wrapper']//ul[@class='units-filter']//li)[4]"
All,All,Label,cvip_UnitsNewDesignFilterTabThreeBedrooms,the ad units new design filter tab,xpath,"(//div[@class='nd-units-wrapper']//ul[@class='units-filter']//li)[5]"
All,All,Label,cvip_UnitsNewDesignFilterTabFourMoreBedrooms,the ad units new design filter tab,xpath,"(//div[@class='nd-units-wrapper']//ul[@class='units-filter']//li)[6]"
All,All,Label,cvip_UnitsNewDesignAdBedroomCount,the ad units new design bedroom count,xpath,"((//a[@class='unit-item'])[1]//span[@class='attribute-value'])[1]"
All,All,Label,cvip_UnitsNewDesignAdBathroomCount,the ad units new design bathroom count,xpath,"((//a[@class='unit-item'])[1]//span[@class='attribute-value'])[2]"
All,All,Label,cvip_UnitsNewDesignAdParkingCount,the ad units new design bathroom count,xpath,"((//a[@class='unit-item'])[1]//span[@class='attribute-value'])[3]"
All,All,Label,cvip_UnitsNewDesignAdAreaCount,the ad units new design bathroom count,xpath,"((//a[@class='unit-item'])[1]//span[@class='attribute-value'])[4]//span[@class='area-count']"
All,All,Label,cvip_lblUnitsNewDesignAds,the ad units new design ads,xpath,"//div[@class='nd-units-wrapper']//a[@class='unit-item']"
All,All,Label,cvip_lblUnitsNewDesignFilter,the ad units new design filter,xpath,"//div[@class='nd-units-wrapper']//div[@class='units-filter']"
All,All,Label,cvip_lblUnitsNewDesignFilterTabAll,the ad units new design filter,xpath,"//li[@class='filter-item all active']"
All,All,Label,cvip_lblUnitsNewDesignFilterTabNoBedroom,the ad units new design filter,xpath,"//li[@class='filter-item bedroom-0']"
All,All,Label,cvip_lblOverlayGalleyLabel,the vip overlay gallery label ,xpath,"//div[contains(@class,'vip-tab-overlay vip-tab-overlay-pic')]//span"
All,All,Label,cvip_lblOverlayMapViewLabel,the vip overlay map view label ,xpath,"//div[@class='vip-tab-overlay vip-tab-overlay-map']"
All,All,Label,cvip_lblOverlayStreetViewLabel,the vip overlay street view label ,xpath,"//div[@class='vip-tab-overlay vip-tab-overlay-map vip-street-view']"
All,All,Label,cvip_lblOverlayAdTitle,the vip overlay ad title ,xpath,"//div[@class='vip-title']//span"
All,All,Label,cvip_lblOverlayNextSlider,the vip overlay next slider ,xpath,"//div[@class='slick-switch next icon-back-white slick-arrow']"
All,All,Label,cvip_lblOverlayPrevSlider,the vip overlay prev slider ,xpath,"//div[@class='slick-switch prev icon-back-white slick-arrow']"
All,All,Label,cvip_lblOverlayImageCounter,the vip overlay image counter ,xpath,"//div[@class='counter']"
All,All,Label,cvip_lblOverlayGalleryThumbnails3,the vip overlay gallery thumbnails ,xpath,"//div[@class='carousel-img-wrapper slick-slide slick-current slick-active']//img[@src]"
All,All,Label,cvip_lblOverlayGalleryThumbnails3Image,the vip overlay gallery thumbnails image content ,xpath,"//div[@class='slider-nav slick-initialized slick-slider']//div[@class='carousel-img-wrapper slick-slide slick-current slick-active'][3]//src"
All,All,Label,cvip_lblOverlayGalleryThumbnails3ImageMobile,the vip overlay gallery thumbnails image content ,xpath,"//div[@class='slick-slide slick-current slick-active']//img[@src]"
All,All,Button,cvip_btnVipOverlayClose,the vip overlay close button ,xpath,"//i[@class='close-icon icon-close-normal']"
All,All,Button,cvip_btnVipOverlayReplyClose,the vip overlay close button ,xpath,"//div[@class='reply-title']//span[@class='icon icon-close-normal']"
All,All,Label,cvip_lblVipOverlay,the vip overlay hidden ,xpath,"//div[@class='revip-img-carousel newVipOverlay no-right-banner']"
All,All,Label,cvip_lblOverlayViewMap,the vip overlay view map ,xpath,"//div[@class='map-overlay']//div[@class='map-slot']"
