Site,Platform,ElementType,Label,Description,ByType,By
All,All,Button,srp_btnCloseFilterXIcon,x icon to close filter of filter screen-takeover on srp,xpath,"//div[@class='icon-close-small-bold close-icon-font']"
All,All,Label,srp_lblFilterScreenTakeOver,add filter screen take over on SRP,xpath,"//section[@id='filterScreenTakeOver']"
za,All,TextField,srp_txfBodyTypeText,text for body type attribute on SRP,xpath,"//div[contains(text(),'Body Type')]"
za,All,Button,srp_btnBodyTypeViewMore,view more button for body type attribute on SRP,xpath,"//div[contains(text(),'Body Type')]/..//div[@class='view-more-filter']/span[1]"
za,All,Button,srp_btnBodyTypeDisplayed,displayed attribute for color attribute on SRP,xpath,"//div[contains(text(),'Body Type')]/..//div[@class='inputWrapper fieldContain ']"
za,All,Button,srp_btnBodyTypeDisplayedMore,more displayed attribute for color attribute on SRP,xpath,"//div[contains(text(),'Body Type')]/..//div[@class='inputWrapper fieldContain show-more-filter']"
za,All,TextField,srp_txfColorText,text for color attribute on SRP,xpath,"//div[contains(text(),'Colour')]"
za,All,Button,srp_btnColorViewMore,view more button for color attribute on SRP,xpath,"//div[contains(text(),'Colour')]/..//div[@class='view-more-filter']/span[1]"
za,All,Button,srp_btnColorDisplayed,displayed attribute for color attribute on SRP,xpath,"//div[contains(text(),'Colour')]/..//div[@class='inputWrapper fieldContain ']"
za,All,Button,srp_btnColorDisplayedMore,more displayed attribute for color attribute on SRP,xpath,"//div[contains(text(),'Colour')]/..//div[@class='inputWrapper fieldContain show-more-filter']"
mx_vns,All,TextField,srp_txfBedroomsText,text for Bedrooms attribute on SRP,xpath,"//div[contains(text(),'Recámara(s)')]"
mx_vns,All,Button,srp_btnBedroomsViewMore,view more button for Bedrooms attribute on SRP,xpath,"//div[contains(text(),'Recámara(s)')]/..//div[@class='view-more-filter']/span[1]"
