Site,Platform,ElementType,Label,Description,ByType,By
All,All,Button,payment_btnTopAdQuestionMark3.0,topAd question mark,xpath,"//div[@class='promote-form']//span[contains(text(),'Destacado') or contains(text(),'Top ad')]/..//span[@class='feature-more icon-question-mark']"
All,All,Button,payment_btnBumpUpQuestionMark3.0,BumpUp question mark,xpath,"//div[@class='promote-form']//span[contains(text(),'Primeros Resultados') or contains(text(),'Bump up')]/..//span[@class='feature-more icon-question-mark']"
All,All,Button,payment_btnHighlightQuestionMark3.0,Highlight question mark,xpath,"//div[@class='promote-form']//span[contains(text(),'Resalta tu Aviso') or contains(text(),'Highlights')]/..//span[@class='feature-more icon-question-mark']"
All,All,Button,payment_btnUrgentQuestionMark3.0,Urgent question mark,xpath,"//div[@class='promote-form']//span[contains(text(),'Urgente') or contains(text(),'Urgent')]/..//span[@class='feature-more icon-question-mark']"
All,All,Button,payment_btnWebsiteURLQuestionMark3.0,WebsiteURL question mark,xpath,"//div[@class='promote-form']//span[contains(text(),'Enlace al sitio web') or contains(text(),'Website URL')]/..//span[@class='feature-more icon-question-mark']"
All,All,Button,payment_btnBumpUpXYQuestionMark,bumpUpXY question mark,xpath,"//div[@class='promote-form']//span[@class='feature-more icon-question-mark' and contains(@name,'bumpUp')]"
All,All,Button,payment_btnHighlightQuestionMark,highlight question mark,xpath,"//div[@class='promote-form']//span[@class='feature-more icon-question-mark' and @name='highlight']"
All,All,Button,payment_btnUrgentQuestionMark,urgent question mark,xpath,"//div[@class='promote-form']//span[@class='feature-more icon-question-mark' and @name='urgent']"
All,All,Button,payment_btnWebsiteURLQuestionMark,websiteurl question mark,xpath,"//div[@class='promote-form']//span[@class='feature-more icon-question-mark' and @name='websiteurl']"
All,All,Button,payment_btnPromoteTopAd3.0,the dropdown list of top ad feature,xpath,"//span[contains(text(),'Destacado')]/../..//select"
All,All,Label,payment_imgWarningIcon,the triangle warning icon of insertion fee in payment 2dot0 page,xpath,"//span[@class='icon-exclamation-triangle']"
za,landscape,Label,payment_pnlProtool,protool page label,xpath,"//div[@class='view-pc']"
za,portrait,Label,payment_pnlProtool,protool page label,xpath,"//div[@class='view-mobile']"
mx_vns,landscape,Label,payment_pnlProtool,protool page label,xpath,"//div[@class='sp-banner-pc-view']"
mx_vns,portrait,Label,payment_pnlProtool,protool page label,xpath,"//div[@class='sp-banner-mb-view']"
za,All,Label,payment_lblProtoolLink,protool link on payment page,xpath,"//div[@class='df-legal-links']/a"
All,All,Button,payment_btnContinueToMyAds,the button on order success page to continue to myads,xpath,"//div[@class='continue-myads']//span"
All,All,Button,payment_btnPayRetry,the button on order fail page to retry payment,xpath,"//div[@class='payment-retry']//span"
All,All,TextField,payment_txfPaymentOXXOTitle,text of payment oxxo title in payment 2dot0 page,xpath,"//div[@class='payment-method-body']/p[@class='payment-oxxo-title']"
All,All,TextField,payment_txfPaymentOXXOSerialNumber,text of payment oxxo serial number in payment 2dot0 page,xpath,"//div[@class='payment-method-body']/p[@class='payment-oxxo-serial-number']"
All,All,TextField,payment_txfPaymentOXXOExpiration,text of payment oxxo expiration in payment 2dot0 page,xpath,"//div[@class='payment-method-body']/p[@class='payment-oxxo-expiration']"
All,All,TextField,payment_txfPaymentOXXORemind,text of payment oxxo remind in payment 2dot0 page,xpath,"//div[@class='payment-method-body']/p[@class='payment-oxxo-remind']"
All,landscape,TextField,payment_btnOXXOSearch,button of search in the google search page,xpath,"//div[@class='searchbox-hamburger-container']"
All,portrait,TextField,payment_btnOXXOSearch,button of search in the google search page,xpath,"//div[@class='sbib_b']"
All,All,Button,payment_btnBackToMyAds,back to myads button on pay for blocked ad error overlay,xpath,"//div[@class='feature-checkout-err-overlay']//div[@class='btn-wrapper single-ad']//span"
All,landscape,Link,payment_lnkQALink,qa link on payment page,xpath,"//div[@class='qa-link-text']"
All,portrait,Link,payment_lnkQALink,qa link on payment page,xpath,"//div[@class='qa-link-circle']"
All,All,Button,payment_btnCloseFeatureOverlay3.0,close feature info overlay on general upsell 3.0 page,xpath,"//div[@class='feature-info-overlay']//span[@class='close-text']"
All,All,Label,payment_lblPopUp3.0,feature detail in popup window,xpath,"//div[@class='feature-info-overlay']/div/div[@class='feature-overlay-modal']/h1[@class='feature-title h1-text']"
All,All,Label,payment_lblHPGalleryIcon3.0,homepage gallery feature icon in popup window,xpath,"//i[@class='feature-icon icon-v2-feature-hpGallery']"
All,All,Label,payment_lblSrpGalleryIcon3.0,srpGallery feature icon in popup window,xpath,"//i[@class='feature-icon icon-v2-feature-srpGallery']"
All,All,Label,payment_lblTopAdIcon3.0,topAd feature icon in popup window,xpath,"//i[@class='feature-icon icon-v2-feature-topAd']"
All,All,Label,payment_lblBumpUpIcon3.0,bumpUp feature icon in popup window,xpath,"//i[@class='feature-icon icon-v2-feature-bumpUpXY']"
All,All,Label,payment_lblHighlightIcon3.0,highlight feature icon in popup window,xpath,"//i[@class='feature-icon icon-v2-feature-highlight']"
All,All,Label,payment_lblUrgentIcon3.0,urgent feature detail in popup window,xpath,"//i[@class='feature-icon icon-v2-feature-urgent']"
All,All,Button,payment_btnProceedToSID,test completed button on sid page,xpath,"//div[@class='bank-transfer-sumbit']/a"
All,All,Button,payment_btnSIDTestCompleted,test completed button on sid page,xpath,"//div[contains(text(),'SID TEST COMPLETED')]"
All,landscape,Button,payment_btnBundleBuildOwnCheckout,bundle build your own checkout button,xpath,"//div[@class='desktop-checkout']//a[@class='checkout-button btn']/span/span"
All,portrait,Button,payment_btnBundleBuildOwnCheckout,bundle build your own checkout button,xpath,"//div[@class='mobile-checkout']//a[@class='checkout-button btn']/span/span"
All,landscape,Button,payment_btnBundleBuildOwnCancel,bundle build your own cancel button,xpath,"//div[@class='desktop-checkout-container']//div[@class='checkout-cancel']//a"
All,portrait,Button,payment_btnBundleBuildOwnCancel,bundle build your own cancel button,xpath,"//div[@class='mobile-checkout']//div[@class='checkout-cancel']//a"
All,All,TextField,payment_txfWorldPay,only show worldpay without oxxo,xpath,"//span[@class='payment-type-dscr']"
All,All,TextField,payment_txfPayWithCard,pay by card section,xpath,"//div[@class='payment-section payment-hpp']/div[1]"
All,All,TextField,payment_txfPaymentBundleDescription,the description of payment featrue,xpath,"//div[@class='declaimer']"
All,All,TextField,payment_txfBundleBasic,the title of bundleBasic featrue,xpath,"//div[contains(@class,'bundle-Basic')]//div[@class='bundle-body']//div[@class='bundle-title-area']"
All,All,TextField,payment_txfBundleFeaturedRecommended,the title of bundleFeaturedRecommended featrue,xpath,"//div[contains(@class,'bundle-Featured')]//div[@class='bundle-body']//div[@class='bundle-title-area']"
All,All,TextField,payment_txfBundlePremium,the title of bundlePremium featrue,xpath,"//div[contains(@class,'bundle-Premium')]//div[@class='bundle-body']//div[@class='bundle-title-area']"
za,All,TextField,payment_txfOrderSummary,the summary for order,xpath,"//div[@class='order-summary-tab']"
All,All,TextField,payment_expiryDate,the expiry date of the adyen card,xpath,"//input[@id='expiryDate']"
All,All,Button,payment_adyenCheckout,the checkout button for adyen on vm mock,xpath,"//div[@class='checkout']//button[@type='button']"

