Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,tns_lblDeleteReasonSoldOffline,the label of delete reason that sold offline,xpath,"//td[text()='SOLD_OFFLINE']"
All,All,Button,tns_btnGoToHomePage,the button to return to the homepage,xpath,"//div[@id='mainView']//ng-md-icon[@icon='home']"
All,All,Button,tns_btnGoToHomePageNew,the button to return to the homepage,xpath,"//button[contains(@class,'md-icon-button')]/ng-md-icon[@icon='home']"
All,All,Label,tns_lblBulkContactList,the list of contact in adManagePage when select bulk operation,xpath,"//md-select[@ng-model='bulkContactReason']"
All,All,Label,tns_lblContactList,the list of contact in adManagePage,xpath,"//div[@controller='tnsAdManagementActionsController']//div[contains(text(),'Contact')]"
All,All,Label,tns_lblBulkOptionBlank,the option of blank in contact list when select bulk operation,xpath,"//md-option[@value='BLANK' and @class='md-ink-ripple']"
All,All,Label,tns_lblOptionBlank,the option of blank in contact list,xpath,"//md-option[@value='BLANK' and contains(@class,'delete')]"
All,All,TextField,tns_txfContactEmail,the textfield to enter the subject of email,xpath,"//input[@name='emailSubject']"
All,All,TextField,tns_txfContactBody,TextFiled for contacted email body,xpath,"//body[@id='tinymce']"
All,All,Button,tns_btnSendEmail,the button to send the email,xpath,"//button[@ng-click='save()']"
All,All,Button,tns_btnConfirmEmailSend,the button to confirm contact email send,xpath,"//button[@ng-click='save()']"
All,All,Button,tns_btnFirstActionLog,the button to check second Ad's Action log,xpath,"//div[@id='virtualRepeatArea']/div[1]/div[1]/tns-ad-management-overview/div/div[2]/tns-ad-management-details/md-content/div/div[2]/span[2]/button[2]"
All,All,Button,tns_btnSecondActionLog,the button to check second Ad's Action log,xpath,"//div[@id='virtualRepeatArea']/div[2]/div[1]/tns-ad-management-overview/div/div[2]/tns-ad-management-details/md-content/div/div[2]/span[2]/button[2]"
All,All,Label,tns_lblOperationValue,the value of operation in first check result,xpath,"//md-virtual-repeat-container[@id='vertical-container']/div/div[2]/table/tbody/tr[1]/td[3]/div"
All,All,Button,tns_btnBlockPhone,the button to block the phone,xpath,"//button[@class='blockPhoneLink']"
All,All,Button,tns_btnBlockPhoneNew,the button to block the phone,xpath,"//button[contains(@class,'blockphone')]"
All,All,Button,tns_btnUnBlockPhone,the button to unblock the phone,xpath,"//button[@class='unblockPhoneLink']"
All,All,Button,tns_btnUnBlockPhoneNew,the button to unblock the phone,xpath,"//button[contains(@class,'unblockphone')]"
All,All,Button,tns_btnAdManagementSearchOld,the search button on ad management page,xpath,"//div[@class='actionArea']/input[@name='search']"
All,All,Label,tns_lblConfigurationBlocked,the blocked phone on tns configuration,xpath,"//img[@alt='blockmachine']/../../.."
All,All,Button,tns_btnBlockedSelect,the select button on ad configuratin blocked page,xpath,"//span[contains(@class,'md-select-icon')]"
All,All,Button,tns_btnBlockedPhoneOption,the blockec phone option button on ad configuratin blocked page,xpath,"//md-select-menu[contains(@class,'md')]//md-option[@value='BlockPhone']"
All,All,Button,tns_btnBlockedSearch,the search button on ad configuratin blocked page,xpath,"//button[contains(@class,'blacklist-searchbtn')]"
All,All,Button,tns_btnAddBlockedPhone,the add new blocked phone button on ad blacklist page, xpath,"//button[@aria-label='add new blocked phone']"
All,All,TextField,tns_txfAddPhone, text field of phone, xpath,"//label[contains(text(),'Phone')]/../input"
All,All,Label,tns_lblSelectIcon, label of select icon, xpath,"//md-select[contains(@class,'ng-invalid-required')]"
All,All,Label,tns_lblSelectIconMX, label of select icon mx, xpath,"//md-option[@value='es_MX_VNS']"
All,All,Button,tns_btnAccentSubmit,the accent submit button on ad blacklist page, xpath,"//button[contains(@class,'md-accent submitButton')]"
All,All,Label,tns_lblDeviceId, label of machineId, xpath,"//td[contains(text(),'Device ID')]/..//td[@class='detailProp']"
